Alaska,Level 1,Oct-04-2008
Arizona,Level 1,Oct-04-2008
Arkansas,Level 6,Oct-04-2008
California,Level 1,Oct-04-2008
Colorado,Level 1,Oct-04-2008
Connecticut,Level 1,Oct-04-2008
Delaware,Level 1,Oct-04-2008
Florida,Level 1,Oct-04-2008
Georgia,Level 1,Oct-04-2008
Hawaii,Level 1,Oct-04-2008
Idaho,Level 1,Oct-04-2008
Illinois,Level 1,Oct-04-2008
Indiana,Level 1,Oct-04-2008
Iowa,Level 1,Oct-04-2008
Kansas,Level 1,Oct-04-2008
Kentucky,Level 1,Oct-04-2008
Louisiana,Level 1,Oct-04-2008
Maine,Level 1,Oct-04-2008
Maryland,Level 1,Oct-04-2008
Massachusetts,Level 1,Oct-04-2008
Michigan,Level 1,Oct-04-2008
Minnesota,Level 1,Oct-04-2008
Mississippi,Level 1,Oct-04-2008
Missouri,Level 1,Oct-04-2008
Montana,Level 1,Oct-04-2008
Nebraska,Level 1,Oct-04-2008
Nevada,Level 1,Oct-04-2008
New Hampshire,Level 1,Oct-04-2008
New Jersey,Level 1,Oct-04-2008
New Mexico,Level 1,Oct-04-2008
New York,Level 1,Oct-04-2008
North Carolina,Level 1,Oct-04-2008
North Dakota,Level 1,Oct-04-2008
Ohio,Level 1,Oct-04-2008
Oklahoma,Level 1,Oct-04-2008
Oregon,Level 1,Oct-04-2008
Pennsylvania,Level 1,Oct-04-2008
Rhode Island,Level 1,Oct-04-2008
South Carolina,Level 1,Oct-04-2008
South Dakota,Level 1,Oct-04-2008
Tennessee,Level 1,Oct-04-2008
Texas,Level 1,Oct-04-2008
Utah,Level 1,Oct-04-2008
Vermont,Level 1,Oct-04-2008
Virginia,Level 1,Oct-04-2008
Washington,Level 1,Oct-04-2008
West Virginia,Level 1,Oct-04-2008
Wisconsin,Level 1,Oct-04-2008
Wyoming,Level 1,Oct-04-2008
Virgin Islands,Level 0,Oct-04-2008
New York City,Level 1,Oct-04-2008
Alabama,Level 1,Oct-11-2008
Alaska,Level 1,Oct-11-2008
Arizona,Level 1,Oct-11-2008
Arkansas,Level 1,Oct-11-2008
California,Level 1,Oct-11-2008
Colorado,Level 1,Oct-11-2008
Connecticut,Level 1,Oct-11-2008
Delaware,Level 1,Oct-11-2008
Florida,Level 1,Oct-11-2008
Georgia,Level 1,Oct-11-2008
Hawaii,Level 1,Oct-11-2008
Idaho,Level 1,Oct-11-2008
Illinois,Level 1,Oct-11-2008
Indiana,Level 1,Oct-11-2008
Iowa,Level 1,Oct-11-2008
Kansas,Level 1,Oct-11-2008
Kentucky,Level 1,Oct-11-2008
