Alabama,4769452,4784435,4800307,4814150,4828303,4840221,4849650
Alaska,691795,703665,710107,713284,714590,715690,720195
Arizona,6386391,6445831,6529632,6604092,6700353,6799510,6911889
Arkansas,2914830,2932921,2944129,2951923,2960138,2972327,2982997
California,37181550,37523842,37858037,38179112,38527672,38838074,39091453
Colorado,5015266,5084214,5155136,5231277,5313456,5414058,5506673
Connecticut,3571370,3582516,3586255,3587571,3584273,3577428,3568865
Delaware,895917,904087,913124,921241,931071,940520,948534
District of Columbia,602064,617476,632275,645847,655509,666607,677292
Florida,18776632,19030781,19276416,19510904,19819077,20176496,20542033
Georgia,9655100,9743427,9849739,9921414,10021592,10135281,10249176
Hawaii,1324565,1338077,1348759,1360363,1369158,1376985,1380824
Idaho,1566351,1579010,1592141,1608152,1629305,1648967,1679576
Illinois,12807493,12830924,12841964,12848600,12840438,12810375,12771787
Indiana,6485637,6512272,6534097,6565642,6592161,6610023,6630434
Iowa,3048805,3061219,3074754,3090260,3106478,3120698,3133319
Kansas,2838304,2848780,2862194,2868431,2876600,2882890,2886272
Kentucky,4327179,4346893,4360500,4380255,4393639,4406255,4420441
Louisiana,4521534,4557920,4583795,4606096,4628993,4651331,4664041
Maine,1325093,1326788,1327580,1327659,1329328,1328311,1329989
Maryland,5760081,5814778,5861822,5902298,5937616,5964817,5985161
Massachusetts,6558253,6604435,6652009,6701019,6744295,6779263,6806624
Michigan,9871980,9870318,9881571,9894625,9911561,9913530,9924279
Minnesota,5307008,5343579,5377509,5415961,5450280,5480244,5517643
Mississippi,2954620,2961511,2967750,2974303,2977240,2974579,2974294
Missouri,5975845,5991204,6006890,6022734,6043110,6060672,6077062
Montana,986926,993508,1001157,1010405,1019040,1028365,1038769
Nebraska,1823104,1834764,1849211,1861983,1874418,1887223,1900329
Nevada,2692312,2706545,2740699,2774476,2821094,2872688,2928629
New Hampshire,1315223,1316246,1319721,1321186,1327356,1328494,1333312
New Jersey,8794811,8831895,8863662,8889726,8915144,8926366,8935274
New Mexico,2053320,2064926,2070624,2072065,2070319,2068848,2068877
New York,19377403,19495729,19572073,19648865,19692371,19721712,19720257
North Carolina,9451090,9552172,9641815,9734430,9828087,9931341,10038459
North Dakota,667069,678449,694434,716300,732861,749572,750554
Ohio,11529989,11534444,11539169,11559461,11584584,11596160,11605207
Oklahoma,3734936,3761993,3795046,3831174,3857666,3888620,3904864
Oregon,3834903,3864757,3896477,3923258,3965512,4021929,4091026
Pennsylvania,12702295,12736255,12764581,12773046,12783794,12785960,12778121
Rhode Island,1049504,1047969,1048956,1048856,1050448,1051364,1052286
South Carolina,4594907,4628702,4677144,4727035,4786071,4853920,4921951
South Dakota,812550,820439,830476,841356,849000,854865,861881
Tennessee,6337877,6376903,6429792,6473920,6523013,6573175,6630587
Texas,25116860,25531556,25937171,26348834,26819804,27311541,27746209
Utah,2768831,2810086,2849988,2897501,2936573,2985639,3046082
Vermont,624482,626047,625844,626517,626422,625513,623995
Virginia,7909841,7997443,8081552,8148195,8203424,8256807,8296630
Washington,6702409,6770536,6848710,6915704,7001270,7106321,7233149
West Virginia,1852095,1853137,1855020,1851924,1847251,1840039,1830087
Wisconsin,5685746,5705798,5722814,5739595,5755186,5764925,5775775
Wyoming,561356,564506,573623,579315,580581,583565,582261