,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,New York City,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virgin Islands,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Oct-04-2008,1,1,1,6,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1
Oct-11-2008,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1
Oct-18-2008,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1
Oct-25-2008,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,1,0,1,1,1,1,1
Nov-01-2008,3,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,4,1,1,1,1,0,1,1,1,1,1
Nov-08-2008,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,4,1,1,1,1,0,1,1,1,1,1
Nov-15-2008,2,1,1,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,2,1,1
Nov-22-2008,3,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,2,1,1,1,1
Nov-29-2008,4,1,1,2,1,1,1,1,0,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,6,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,3,1,1,1,1
Dec-06-2008,5,1,1,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,6,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,3,1,1,1,1
Dec-13-2008,4,1,1,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,0,1,2,1,1,1,7,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,3,1,1,1,1
Dec-20-2008,1,1,1,1,1,1,1,1,0,1,3,1,1,1,1,1,1,1,0,1,2,1,1,1,7,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1
Dec-27-2008,1,1,1,1,1,1,1,1,0,1,5,1,1,1,1,1,1,1,0,1,4,1,1,1,9,1,1,1,2,1,1,1,1,4,1,2,1,1,1,1,0,1,1,2,1,3,1,1,0,4,1,1,1,1
Jan-03-2009,1,1,1,2,1,1,1,1,0,1,4,1,1,1,1,1,1,1,0,1,3,1,1,1,7,1,1,1,3,1,1,1,1,4,1,2,1,1,1,1,0,1,1,1,1,2,1,1,0,4,1,1,1,1
Jan-10-2009,1,1,1,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,2,1,1,1,1,3,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,3,1,1,1,1
Jan-17-2009,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,6,1,1,1,2,1,1,1,1,3,1,1,1,1,1,1,0,1,1,1,1,3,1,1,0,3,1,1,1,1
Jan-24-2009,4,1,1,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,8,1,1,1,2,1,1,1,1,4,1,1,1,1,2,1,0,1,1,1,1,5,1,1,0,4,1,1,1,1
Jan-31-2009,2,1,1,4,1,1,2,1,0,1,4,1,1,1,1,1,1,2,7,1,2,2,1,1,10,1,1,1,3,1,2,1,1,5,1,1,1,3,1,1,0,1,1,1,1,8,1,1,0,6,1,1,1,1
Feb-07-2009,3,1,1,6,2,1,10,1,0,1,7,1,1,2,4,1,1,3,9,2,6,4,1,1,10,1,1,1,5,1,5,1,1,5,2,4,1,1,2,1,0,5,3,2,1,10,2,1,0,7,1,1,1,1
Feb-14-2009,6,1,1,4,3,2,10,1,0,4,10,1,1,3,5,1,1,4,10,3,10,6,2,1,10,1,1,1,5,1,6,2,3,6,3,3,1,4,5,10,0,5,5,2,3,10,3,1,0,9,1,1,3,1
Feb-21-2009,4,2,2,3,2,2,4,2,0,4,8,1,2,3,5,1,1,4,10,5,9,5,2,1,10,1,1,1,7,1,5,3,5,6,3,1,1,3,7,10,0,10,2,2,2,10,3,2,0,9,1,1,4,1
Feb-28-2009,4,1,1,3,3,2,5,3,0,1,9,2,2,4,5,1,6,4,3,4,10,4,1,1,10,3,1,1,6,1,9,5,5,4,5,6,1,4,7,10,0,5,8,4,3,6,3,1,0,10,1,1,3,1
Mar-07-2009,5,1,1,4,2,2,2,2,0,1,8,1,1,6,5,3,6,5,3,4,9,1,1,1,10,3,1,1,5,1,5,4,6,3,3,7,1,5,7,9,0,2,6,3,2,5,3,1,0,9,3,1,7,1
Mar-14-2009,3,1,1,3,1,1,1,1,0,1,6,1,4,5,2,1,1,2,1,1,8,1,1,1,10,1,1,1,4,1,4,2,9,3,1,6,1,1,6,2,0,1,5,5,1,1,3,1,0,6,5,1,6,6
